data_level,route,scenario,is_crisis,route_distance_km,avg_route_duration_minutes,time_shortest_s,time_traffic_s,time_gnn_s,time_classifier_s,compute_time_shortest_s,compute_time_traffic_s,compute_time_gnn_s,compute_time_classifier_s,winner,seed
minor,Old Town loop,Normal traffic,False,1.53,5.51,333,328,328,328,0.028,0.064,3.021,0.099,TIE,80077019
minor,Gediminas Ave,Normal traffic,False,1.08,3.95,237,237,237,237,0.025,0.064,0.46,0.069,TIE,80065019
minor,Station to centre,Normal traffic,False,1.69,7.31,453,424,424,421,0.023,0.064,0.392,0.088,TIE,80060219
minor,Uzupis internal,Normal traffic,False,2.14,6.13,368,368,368,368,0.025,0.066,0.463,0.08,TIE,80088219
minor,Zirmunai to Naujamiestis,Normal traffic,False,5.68,15.07,1053,756,871,1091,0.025,0.155,0.383,0.333,TRAFFIC,80083119
minor,Antakalnis to centre,Normal traffic,False,3.93,10.76,673,618,618,668,0.024,0.062,0.432,0.181,TIE,80092519
minor,Seskine to Old Town,Normal traffic,False,6.05,12.5,759,741,731,779,0.026,0.063,0.395,0.238,GNN,80103019
minor,Karoliniskes to Uzupis,Normal traffic,False,7.56,17.98,1114,1043,1068,1161,0.026,0.07,0.442,0.234,TRAFFIC,80089819
minor,Justiniskes to centre,Normal traffic,False,6.61,13.94,785,888,802,808,0.028,0.069,0.506,0.181,GNN,80105119
minor,Fabijoniskes to river,Normal traffic,False,6.13,11.15,669,669,669,911,0.034,0.083,0.468,0.323,TIE,80121219
minor,West to East,Normal traffic,False,13.05,24.85,1523,1459,1400,1707,0.034,0.094,0.543,0.301,GNN,80149219
minor,North to South,Normal traffic,False,11.58,17.51,1221,880,880,1107,0.034,0.205,0.462,0.348,TIE,80124219
minor,Pilaite to Pasilaiciai,Normal traffic,False,9.88,16.19,929,1014,929,1108,0.031,0.074,0.454,0.266,GNN,80089219
minor,Lazdynai to Antakalnis,Normal traffic,False,10.11,19.52,1404,938,938,1220,0.044,0.083,0.483,0.331,TIE,80104419
minor,Pilaite to Fabijoniskes,Normal traffic,False,10.76,17.45,1030,1064,1052,1209,0.029,0.077,0.475,0.337,GNN,80094219
minor,Lazdynai to Jeruzale,Normal traffic,False,9.79,17.51,1078,1023,862,1035,0.029,0.175,0.413,0.408,GNN,80034219
minor,South to Northeast,Normal traffic,False,11.13,23.23,1716,1072,1072,1287,0.038,0.081,0.54,0.315,TIE,80062219
minor,Ring road W to E,Normal traffic,False,16.35,25.16,1920,1099,1105,1876,0.039,0.076,0.454,0.336,TRAFFIC,80154219
minor,Grigiskes to Verkiai,Normal traffic,False,24.31,30.49,1923,1736,1736,1855,0.035,0.078,0.508,0.358,TIE,80066619
minor,Salininkai to Seskine,Normal traffic,False,9.3,15.07,1079,730,730,741,0.028,0.079,0.439,0.305,TIE,80009219
minor,Old Town loop,all bridges old town destroyed_optimistic,True,1.53,5.51,333,328,328,328,0.024,0.077,0.414,0.098,TIE,80075187
minor,Gediminas Ave,all bridges old town destroyed_optimistic,True,1.08,3.95,237,237,237,237,0.025,0.069,0.426,0.093,TIE,80063187
minor,Station to centre,all bridges old town destroyed_optimistic,True,1.69,7.31,453,424,424,421,0.025,0.069,0.493,0.119,TIE,80058387
minor,Uzupis internal,all bridges old town destroyed_optimistic,True,2.14,6.13,368,368,368,368,0.039,0.068,0.582,0.089,TIE,80086387
minor,Zirmunai to Naujamiestis,all bridges old town destroyed_optimistic,True,7.05,18.26,1095,1096,1092,1335,0.05,0.076,0.382,0.283,GNN,80081287
minor,Antakalnis to centre,all bridges old town destroyed_optimistic,True,6.43,17.51,1045,1056,1085,1350,0.034,0.071,0.428,0.239,TRAFFIC,80090687
minor,Seskine to Old Town,all bridges old town destroyed_optimistic,True,6.73,14.75,892,878,878,1010,0.027,0.072,0.485,0.302,TIE,80101187
minor,Karoliniskes to Uzupis,all bridges old town destroyed_optimistic,True,7.84,17.79,1161,974,1101,1165,0.028,0.1,0.451,0.305,TRAFFIC,80087987
minor,Justiniskes to centre,all bridges old town destroyed_optimistic,True,7.18,15.3,887,949,949,898,0.029,0.084,0.448,0.28,TIE,80103287
minor,Fabijoniskes to river,all bridges old town destroyed_optimistic,True,6.13,11.15,669,669,669,992,0.026,0.071,0.634,0.154,TIE,80119387
minor,West to East,all bridges old town destroyed_optimistic,True,13.05,23.81,1523,1334,1400,1707,0.031,0.088,0.508,0.298,TRAFFIC,80147387
minor,North to South,all bridges old town destroyed_optimistic,True,11.93,22.31,1375,1302,1320,1500,0.032,0.077,0.445,0.296,TRAFFIC,80122387
minor,Pilaite to Pasilaiciai,all bridges old town destroyed_optimistic,True,9.88,16.19,929,1014,929,1108,0.027,0.072,0.458,0.284,GNN,80087387
minor,Lazdynai to Antakalnis,all bridges old town destroyed_optimistic,True,10.3,17.12,1116,938,938,1031,0.03,0.079,0.423,0.3,TIE,80102587
minor,Pilaite to Fabijoniskes,all bridges old town destroyed_optimistic,True,10.76,17.45,1030,1064,1052,1209,0.034,0.074,0.523,0.285,GNN,80092387
minor,Lazdynai to Jeruzale,all bridges old town destroyed_optimistic,True,9.79,17.51,1078,1023,976,1035,0.029,0.079,0.498,0.29,GNN,80032387
minor,South to Northeast,all bridges old town destroyed_optimistic,True,11.29,24.53,1657,1287,1370,1287,0.033,0.074,0.465,0.282,TRAFFIC,80060387
minor,Ring road W to E,all bridges old town destroyed_optimistic,True,16.39,18.4,1109,1099,1105,1115,0.035,0.073,0.539,0.276,TRAFFIC,80152387
minor,Grigiskes to Verkiai,all bridges old town destroyed_optimistic,True,26.28,40.33,2530,2310,2310,2402,0.034,0.086,0.558,0.356,TIE,80064787
minor,Salininkai to Seskine,all bridges old town destroyed_optimistic,True,10.27,18.43,1221,991,991,1118,0.048,0.079,0.469,0.33,TIE,80007387
minor,Old Town loop,Car crashes in Lazdynai,True,1.53,5.51,333,328,328,328,0.025,0.085,0.462,0.09,TIE,80080060
minor,Gediminas Ave,Car crashes in Lazdynai,True,1.08,3.95,237,237,237,237,0.023,0.088,0.431,0.104,TIE,80068060
minor,Station to centre,Car crashes in Lazdynai,True,1.69,7.31,453,424,424,421,0.028,0.074,0.571,0.119,TIE,80063260
minor,Uzupis internal,Car crashes in Lazdynai,True,2.14,6.13,368,368,368,368,0.024,0.075,0.442,0.072,TIE,80091260
minor,Zirmunai to Naujamiestis,Car crashes in Lazdynai,True,5.68,15.07,1053,756,871,1091,0.026,0.18,0.482,0.399,TRAFFIC,80086160
minor,Antakalnis to centre,Car crashes in Lazdynai,True,3.93,10.76,673,618,618,668,0.032,0.079,0.508,0.276,TIE,80095560
minor,Seskine to Old Town,Car crashes in Lazdynai,True,6.05,12.5,759,741,731,779,0.028,0.079,0.584,0.302,GNN,80106060
minor,Karoliniskes to Uzupis,Car crashes in Lazdynai,True,7.56,17.98,1114,1043,1068,1161,0.036,0.079,0.509,0.313,TRAFFIC,80092860
