====================================================================================================================================================================================
DEGRADED DATA EXPERIMENT - FULL RESULTS
Win comparison: Traffic vs GNN only  (Shortest path and Classifier are recorded but NOT included in wins/losses)
Date: 20260514_215944
Routes: 20, Scenarios: 6, Levels: 12
Runs per level: 120
====================================================================================================================================================================================

SUMMARY BY DEGRADATION LEVEL
(Wins = Traffic vs GNN comparison only; Ties = within 2-second threshold)

   Level |   GNN W | Traffic | Ties |  Win % |      Avg Times |        Δ |    Impr | Compute Times
  ------------------------------------------------------------------------------------------------------------------------
   minor |  35/119 |  20/119 |  64 |   29.4% | T: 881.1s G: 869.7s | Δ:  29.4s |    +1.3% | T:0.082s G:0.514s
     90% |   6/119 |  65/119 |  48 |    5.0% | T: 843.4s G: 876.9s | Δ:  34.1s |    +3.8% | T:0.093s G:0.523s
     80% |  15/119 |  61/119 |  43 |   12.6% | T: 847.7s G: 877.9s | Δ:  35.6s |    +3.4% | T:0.095s G:0.516s
     70% |  13/119 |  65/119 |  41 |   10.9% | T: 854.0s G: 888.3s | Δ:  41.1s |    +3.9% | T:0.095s G:0.530s
     60% |  20/119 |  63/119 |  36 |   16.8% | T: 861.6s G: 892.5s | Δ:  40.6s |    +3.5% | T:0.089s G:0.484s
     50% |  33/119 |  51/119 |  35 |   27.7% | T: 871.9s G: 895.8s | Δ:  43.7s |    +2.7% | T:0.088s G:0.485s
     40% |  39/119 |  50/119 |  30 |   32.8% | T: 891.9s G: 901.7s | Δ:  48.8s |    +1.1% | T:0.087s G:0.480s
     30% |  41/119 |  49/119 |  29 |   34.5% | T: 893.7s G: 900.6s | Δ:  43.3s |    +0.8% | T:0.086s G:0.483s
     20% |  45/119 |  44/119 |  30 |   37.8% | T: 922.4s G: 916.8s | Δ:  73.8s |    +0.6% | T:0.087s G:0.497s
     10% |  52/119 |  45/119 |  22 |   43.7% | T: 944.8s G: 944.7s | Δ:  72.4s |    +0.0% | T:0.092s G:0.518s
      5% |  62/119 |  35/119 |  22 |   52.1% | T: 967.8s G: 939.5s | Δ:  73.2s |    +2.9% | T:0.085s G:0.499s
      0% |  47/119 |  40/119 |  32 |   39.5% | T: 961.7s G: 955.4s | Δ:  34.6s |    +0.7% | T:0.081s G:0.494s


DETAILED RESULTS (per route)
   Level | Route                          | Scenario                            | Dist(km) |    Winner | Short(s)  Traf(s)   GNN(s)   Cls(s)
  ------------------------------------------------------------------------------------------------------------------------------------------
   minor | Old Town loop                  | Normal traffic                      |     1.53 |       TIE |      333      328      328      328
   minor | Gediminas Ave                  | Normal traffic                      |     1.08 |       TIE |      237      237      237      237
   minor | Station to centre              | Normal traffic                      |     1.69 |       TIE |      453      424      424      421
   minor | Uzupis internal                | Normal traffic                      |     2.14 |       TIE |      368      368      368      368
   minor | Zirmunai to Naujamiestis       | Normal traffic                      |     5.68 |   TRAFFIC |     1053      756      871     1091
   minor | Antakalnis to centre           | Normal traffic                      |     3.93 |       TIE |      673      618      618      668
   minor | Seskine to Old Town            | Normal traffic                      |     6.05 |       GNN |      759      741      731      779
   minor | Karoliniskes to Uzupis         | Normal traffic                      |     7.56 |   TRAFFIC |     1114     1043     1068     1161
   minor | Justiniskes to centre          | Normal traffic                      |     6.61 |       GNN |      785      888      802      808
   minor | Fabijoniskes to river          | Normal traffic                      |     6.13 |       TIE |      669      669      669      911
   minor | West to East                   | Normal traffic                      |    13.05 |       GNN |     1523     1459     1400     1707
   minor | North to South                 | Normal traffic                      |    11.58 |       TIE |     1221      880      880     1107
   minor | Pilaite to Pasilaiciai         | Normal traffic                      |     9.88 |       GNN |      929     1014      929     1108
   minor | Lazdynai to Antakalnis         | Normal traffic                      |    10.11 |       TIE |     1404      938      938     1220
   minor | Pilaite to Fabijoniskes        | Normal traffic                      |    10.76 |       GNN |     1030     1064     1052     1209
   minor | Lazdynai to Jeruzale           | Normal traffic                      |     9.79 |       GNN |     1078     1023      862     1035
   minor | South to Northeast             | Normal traffic                      |    11.13 |       TIE |     1716     1072     1072     1287
   minor | Ring road W to E               | Normal traffic                      |    16.35 |   TRAFFIC |     1920     1099     1105     1876
   minor | Grigiskes to Verkiai           | Normal traffic                      |    24.31 |       TIE |     1923     1736     1736     1855
   minor | Salininkai to Seskine          | Normal traffic                      |     9.30 |       TIE |     1079      730      730      741
   minor | Old Town loop                  | all bridges old town destroyed_optimistic |     1.53 |       TIE |      333      328      328      328
   minor | Gediminas Ave                  | all bridges old town destroyed_optimistic |     1.08 |       TIE |      237      237      237      237
   minor | Station to centre              | all bridges old town destroyed_optimistic |     1.69 |       TIE |      453      424      424      421
   minor | Uzupis internal                | all bridges old town destroyed_optimistic |     2.14 |       TIE |      368      368      368      368
